fid,name,lat,lon
1,Treffos School,53.2559631,-4.1803365
2,Caban Aur,53.298507,-4.2580805
3,St Gerards School Trust,53.2242256,-4.1376906
4,Aran Hall School,52.7812358,-3.780516
5,Teresa House,52.8784013,-4.4332965
6,Bangor Independent School,53.2273163,-4.1267578
7,St David's College,53.3095745,-3.7987809
8,Rydal Penrhos,53.2953568,-3.7335419
9,Fairholme Preparatory School,53.2616555,-3.4455734
10,Ruthin School,53.116998,-3.3001241
11,The Branas School,52.9305247,-3.4508141
12,Myddelton College,53.1825381,-3.4154952
13,Options Kinsale,53.1148535,-3.0483617
14,Bryn Tirion Hall School,53.1148535,-3.0483617
15,The Haven,53.1572108,-3.1546343
16,Ysgol Y Rhos,53.0945799,-3.1312232
17,Woodlands Children's Development Centre,53.0444332,-2.9983753
18,Carla House,53.0651193,-3.082913
19,Christ College,51.9461167,-3.3952783
20,Amberleigh Residential Therapeutic School,52.6534781,-3.1905867
21,OneSchool Global UK Newtown Campus,52.5097594,-3.1735929
22,Ty Bronllys,52.0069411,-3.263373
23,Bettws Lifehouse,52.5614337,-3.2967449
24,The Potteries,52.5421176,-3.2545619
25,Summergil House School,52.2379347,-3.0765569
26,Trefnanney School,52.7307021,-3.182697
27,Grace House,52.5702507,-3.0081011
28,Marlowe St David's Education Unit,51.8712938,-5.1384738
29,Redhill Preparatory School,51.8059053,-4.9831114
30,Landsker Education,51.8000224,-4.7439943
31,Castle School,51.8153432,-4.7549341
32,Ty Cariad,51.7312246,-4.9896326
33,Birribi Education,51.9105451,-5.0640926
34,Redhill High School,51.8466339,-4.7120345
35,Coleg Llanymddyfri,51.9945143,-3.7996351
36,St Michael's School,51.6848272,-4.1082173
37,Nant-y-cwm Steiner School,51.8880064,-4.7485408
38,Gwenllian Education Centre,51.7360813,-4.313628
39,Alternative Learning Company,51.682576,-4.1482153
40,Westward House School,51.819745,-4.497481
41,Oakleigh House School ,51.6215644,-3.9726306
42,Ffynone House School,51.6196279,-3.9602334
43,OneSchool Global UK Swansea Campus,51.6689196,-3.9213107
44,Priority Childcare,51.6463632,-3.8530257
45,Swansea Sixth Form College,51.6208287,-3.9488484
46,Ty Dan Y Coed,51.5906651,-4.0002957
47,Tarren School ,51.6477135,-3.6394415
48,Brynmorgan Villa,51.7826008,-3.8030769
49,St Clare's School,51.4861265,-3.6757415
50,Genus Education,51.5721435,-3.5316833
51,Westbourne School,51.4366954,-3.174571
52,Headlands School,51.4429175,-3.1671559
53,Atlantic College,51.4019487,-3.533393
54,Wyclif Independent Christian School,51.5972891,-3.1411282
55,Mynydd Haf School,51.5913669,-3.1825704
56,Monmouth School for Boys,51.8115449,-2.7124083
57,Monmouth School For Girls,51.8180681,-2.7120945
58,Monmouth Schools Pre-Prep & Nursery,51.8191502,-2.6987384
59,Llangattock School Monmouth,51.8392778,-2.7889126
60,Talocher School,51.7975208,-2.753287
61,Rougemont School,51.621526,-3.0123782
62,Greenfields School,51.5811986,-3.0049437
63,Catch22 Include Wales,51.5833108,-2.9665259
64,Wadham College of Science,51.5831855,-2.9944223
65,Sporting Chance,51.5771418,-2.9823585
66,Ysgol Ty Monmouth,51.5817726,-3.0124324
67,St John's College,51.5282626,-3.1107435
68,The Cathedral School,51.4936972,-3.2159518
69,Kings Monkton School,51.4857768,-3.1698113
70,Howell's School,51.4903437,-3.2124199
71,Craig Y Parc School,51.5194938,-3.3050765
72,Cardiff Academy,51.4853784,-3.1664741
73,Cardiff Muslim Primary School,51.4938528,-3.1849273
74,Ty Coryton,51.523633,-3.2398707
75,Red Rose School,51.4998936,-3.1851127
76,Cardiff Steiner School,51.506461,-3.2296833
77,Ely Presbyterian Church School,51.4830646,-3.247137
78,Cardiff Muslim Academy,51.4859992,-3.1683761
79,Ummul Mumineen Academy,51.4697311,-3.1871963
80,Cardiff Montessori School And Nursery,51.4920191,-3.2251261
81,Cardiff Sixth Form College,51.4842337,-3.1676547
82,ACT Schools,51.4787962,-3.1578986
83,Eastward House,51.4853784,-3.1664741