CA,Livebirths_total
S12000005,429
S12000006,1069
S12000008,1020
S12000010,836
S12000011,783
S12000013,171
S12000014,1255
S12000017,1712
S12000018,611
S12000019,858
S12000020,720
S12000021,939
S12000023,145
S12000026,567
S12000027,149
S12000028,796
S12000029,2888
S12000030,620
S12000033,1874
S12000034,1872
S12000035,557
S12000036,3896
S12000038,1666
S12000039,777
S12000040,1598
S12000041,766
S12000042,1234
S12000045,820
S12000047,2825
S12000048,1000
S12000049,6047
S12000050,3026